ts,side,states,count,amp_x,amp_y,flips,open_ratio,conf
1770033167.798767,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.026809,0.041181,1,0.928571,0.710856
1770033167.893545,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033445,0.039958,1,0.928571,0.750669
1770033167.991246,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033445,0.043912,1,0.928571,0.750669
1770033168.092120,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033445,0.051209,2,0.928571,0.750669
1770033168.200883,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033445,0.051209,3,0.928571,0.750669
1770033168.304864,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.035296,0.051209,3,0.928571,0.761774
1770033168.395100,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.035296,0.047649,3,1.000000,0.761774
1770033168.501821,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033640,0.041022,4,1.000000,0.751839
1770033168.604470,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.036993,0.035329,4,1.000000,0.771957
1770033168.701343,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.033749,0.031671,5,1.000000,0.752494
1770033168.801150,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.029930,0.029658,5,1.000000,0.729580
1770033168.904412,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.028372,0.024483,6,1.000000,0.720231
1770033169.004586,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.027034,0.016999,6,1.000000,0.712204
1770033169.101865,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.021160,0.013817,7,1.000000,0.676962
1770033169.202871,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.020462,0.013817,7,1.000000,0.672770
1770033169.304989,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.025720,0.009126,7,1.000000,0.704319
1770033169.403610,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.025720,0.009126,7,1.000000,0.704319
1770033169.506601,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.022926,0.009126,7,1.000000,0.687554
1770033169.602444,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.019648,0.009126,7,1.000000,0.667885
1770033169.703974,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.019648,0.009126,7,1.000000,0.667885
1770033169.802643,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.015767,0.009765,7,1.000000,0.644604
1770033169.899581,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.012421,0.009765,7,1.000000,0.624528
1770033169.996601,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.012421,0.009765,7,1.000000,0.624528
1770033170.097921,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016880,0.009765,7,1.000000,0.651282
1770033170.196209,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016880,0.009765,8,1.000000,0.651282
1770033170.304522,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016880,0.025054,7,1.000000,0.651282
1770033170.393691,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016880,0.040559,7,1.000000,0.651282
1770033170.496159,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016880,0.061661,8,1.000000,0.651282
1770033170.598076,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016880,0.082144,7,1.000000,0.651282
1770033170.698231,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.015072,0.094268,6,1.000000,0.640430
1770033170.795229,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.015072,0.108375,6,1.000000,0.640430
1770033170.896019,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016167,0.116589,5,1.000000,0.647000
1770033171.000549,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016167,0.119267,6,1.000000,0.647000
1770033171.104855,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016389,0.127082,6,1.000000,0.648337
1770033171.198243,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016389,0.124614,6,1.000000,0.648337
1770033171.305496,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016389,0.124614,6,1.000000,0.648337
1770033171.404732,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.016389,0.124614,5,1.000000,0.648337
1770033171.507052,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.014898,0.117718,5,1.000000,0.639388
1770033171.602272,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.014898,0.102028,5,1.000000,0.639388
1770033171.706943,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.014898,0.086523,5,1.000000,0.639388
1770033171.803638,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.013565,0.065421,5,1.000000,0.631389
1770033171.904470,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.010218,0.044938,5,1.000000,0.611309
1770033172.004080,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.014350,0.032813,5,1.000000,0.636097
1770033172.108081,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.019312,0.027557,5,1.000000,0.665872
1770033172.197719,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.021040,0.027557,4,1.000000,0.676240
1770033172.306944,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.024684,0.027557,3,1.000000,0.698103
1770033172.402497,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.026306,0.027557,2,1.000000,0.707837
1770033172.504132,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.024199,0.023325,3,1.000000,0.695193
1770033172.604902,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.023377,0.018386,3,1.000000,0.690260
1770033172.709081,right,"{'thumb': True, 'index': True, 'middle': True, 'ring': True, 'pinky': True}",5,0.022816,0.016075,3,1.000000,0.686896
